"location","source","target"
"lib/components/explore/explore_all_component.js:11","Learn all about B.C.","تعرف على كل شيء عن بريتيش كولومبيا."
"lib/components/help/help_component.js:20","Mutlilingual health information services","خدمات معلومات صحية مقدمة بعدة لغات"
"lib/components/bookmarked_topics/bookmarked_topics_component.js:12","My bookmarks","علاماتي المرجعية"
"lib/components/onboarding/onboarding_component.js:118 lib/components/questionnaire/questionnaire_component.js:100","Next","التالي"
"lib/components/questionnaire/new_topics_modal_component.js:55","No new topics recommended based on your answers.","لا توجد مواضيع جديدة نوصي بها استنادا إلى إجاباتك."
"","No related services found","لم نجد خدمات متعلقة ببحثك"
"lib/components/topics/task_list_component.js:69","No topics to recommend","لا توجد موضوعات نوصي بها"
"lib/components/topics/task_list_component.js:68","No topics to show","لا توجد موضوعات كي نعرضها"
"lib/components/questionnaire/new_topics_modal_component.js:43","Number of new topics recommended based on your answers:","عدد الموضوعات الجديدة التي نوصي بها استنادا إلى إجاباتك:"
"lib/components/questionnaire/questionnaire_component.js:78","OF","من"
"lib/components/questionnaire/new_topics_modal_component.js:69","OK","حسنا"
"lib/components/recommended_topics/call_to_action.js:60","Once you answer some questions, your recommendations will show up below. For now, here are some topics we recommend for everyone:","حالما انتهيت من الإجابة عن بضع أسئلة، سوف تظهر توصياتك المخصصة تاليا. إليك في الوقت الراهن بعض الموضوعات التي نوصي بها للجميع:"
"","Open in maps","فتح في الخرائط"
"lib/components/disclaimer/disclaimer_component.js:45","PeaceGeeks is not liable for any damages incurred as a result of or related to the use of the app. PeaceGeeks is not an immigration consultancy network, and therefore cannot provide advice or support directly related to immigration. Arrival Advisor exists to offer newcomers a directory of services and resources to assist settlement in Metro Vancouver and does not exist in an official Immigration Service capacity.","لا تتحمل PeaceGeeks المسؤولية القانونية عن أي ضرر مادي حدث نتيجة لاستخدام التطبيق ومتعلق باستخدام التطبيق. PeaceGeeks ليست شبكة استشارات هجرة وبالتالي لا يمكنها تقديم المشورة أو المساندة المباشرة في أمور الهجرة. الغرض من Arrival Advisor هو تقديم دليل بالخدمات والموارد للقادمين الجدد ليساعدهم في الاستقرار في مترو فانكوفر وليس الغرض منه أن يقدم خدمات هجرة ذات طابع رسمي."
"lib/components/services/service_list_error_component.js:23","Please ensure location services are enabled for Arrival Advisor.","يرجى التأكد من تفعيل خدمات الموقع لتطبيق Arrival Advisor."
"lib/components/help/help_component.js:15","Police, fire and medical emergencies","الشرطة والمطافئ والطوارئ الصحية"
"lib/components/header_menu/header_menu_component.js:52","Privacy policy","سياسة الخصوصية"
"lib/components/topics/task_detail_component.js:19","RELATED TOPICS","موضوعات ذات صلة"
"lib/components/expandable_content/expandable_content_component.js:82","Read less","تقليل النص"
"lib/components/expandable_content/expandable_content_component.js:80","Read more","زيادة النص"
"lib/components/recommended_topics/recommended_topics_component.js:38 lib/components/topics/task_detail_content_component.js:63","Recommended for you","توصيات إليك"
"lib/components/header_menu/header_menu_component.js:24","SELECT YOUR LANGUAGE","اختر لغتك"
"lib/components/bookmarked_topics/bookmarked_topics_component.js:15","Save important topics to build your personal plan for settlement.","احفظ الموضوعات المهمة كي تنشئ خطتك للاستقرار المخصصة."
"lib/components/welcome/welcome_component.js:31","Select your language","اختر لغتك"
"lib/components/about/about_component.js:55","Server version:","إصدار الخادوم:"
"lib/components/help/help_component.js:25","Services information and referral","معلومات عن الخدمات وإحالات إلى خدمات"
"lib/components/welcome/welcome_component.js:27","Settling in Canada is now easier.","أصبح الاستقرار في كندا الآن أسهل من ذي قبل."
"lib/components/questionnaire/questionnaire_component.js:100","Skip","تخطى"
"lib/components/onboarding/onboarding_component.js:89","Skip personalization",""
"lib/components/welcome/welcome_component.js:42","Start","ابدأ"
"lib/components/onboarding/onboarding_component.js:74","Start personalization",""
"lib/components/recommended_topics/recommended_topics_component.js:21","Start settling in B.C.","بدء الاستقرار في بريتيش كولومبيا."
"lib/components/header_menu/header_menu_component.js:53","Terms of Use",""
"lib/components/about/about_component.js:37","The Arrival Advisor app is created by PeaceGeeks in partnership with settlement organizations in Metro Vancouver, as well as immigrants and refugees like you. This project is possible thanks to funding by the Province of British Columbia and Google.org Canada in partnership with LEAP | Pecaut Centre for Social Impact. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can <0>view it on GitHub</0> and <1>contact us</1> to learn how you can support this project.","صمم تطبيق Arrival Advisor بالتعاون مع مقدمي خدمات الاستقرار في مترو فانكوفر ومهاجرين ولاجئين مثلك. نود أن نتوجه بالشكر الجزيل على الدعم المالي الذي قدمته مقاطعة بريتيش كولومبيا عن طريق وزارة الوظائف والتجارة والتقنية، وكذلك Google.org Canada. كما نتوجه بالشكر الخاص للمتبرعين من الأفراد الذين جعلوا من هذا المشروع حقيقة. تطبيق Arrival Advisor هو مشروع مفتوح المصدر. يمكنك زيارة <0>view it on GitHub</0> وكذلك مراسلة <1>التواصل معنا</1> كي تتعرف على المزيد عن كيفية تقديم المساندة لهذا المشروع."
"lib/components/disclaimer/disclaimer_component.js:22","The app provides information about relevant newcomer services, and is intended for general guidance and reference only. While we aim to provide accurate and timely information, we do not have control over the ongoing accuracy of the information or the quality of the services provided. If you discover that a piece of information is outdated or not useful, please let us know in the feedback section of the app. The inclusion of services and resources in this app does not imply an endorsement or recommendation of those services over others.  Utilization of services located through the app is undertaken at the risk of the user.","يقدم التطبيق معلومات عن خدمات مطلوبة للقادمين الجدد والغرض منها تقديم إرشادات عامة وأن تكون مرجع لا غير. نهدف إلى تقديم معلومات دقيقة وسريعة إلا أننا لا نتحكم في دقة المعلومات أو مستوى جودة الخدمات المقدمة. لو اكتشفت أن أي من المعلومات أصبح قديم أو غير مفيد، يرجى إبلاغنا بذلك في قسم الآراء والملاحظات الخاص بالتطبيق. لا يعني وجود الخدمات في هذا التطبيق تصديقا أو توصية لهذه الخدمات دون غيرها. كما أن مسؤولية الاستعانة بالخدمات التي وجدتها مستخدما هذا التطبيق يقع على المستخدم."
"lib/components/about/about_component.js:51","This is Arrival Advisor version:","هذا الإصدار من تطبيق Arrival Advisor هو:"
"lib/components/recommended_topics/call_to_action.js:70","UPDATE MY RECOMMENDATIONS","تحديث توصياتي"
"","Web:","الموقع الشبكي:"
