location,source,target
lib/components/about/about_component.js:30,"From finding a job to learning English, accessing health care, and more, Arrival Advisor has everything you need to get started in your new community. Explore topics and services without ever needing to create an account. Access important information no matter where you are: the newcomer topics provided by Arrival Advisor are saved to your phone so you can view them, even without internet. You can fill out some questions to get personalized recommendations of topics and services to settle in British Columbia. Arrival Advisor is anonymous and your answers are only used to operate the app's recommendations. We never save or share your personal data with funders or any third parties.",從尋找工作到學習英語、取得醫療保健等，Arrival Advisor 可提供您在開始新生活時所需要的一切資訊。 無需註冊帳戶即可查詢新移民主題和服務項目。無論您身在何處，即使沒有網路服務，您還是可以讀取重要訊息、查看和儲存這些資訊。 藉由回答幾個簡單的問題，您將可獲得針對您在不列顛哥倫比亞省（BC省）個人化的服務推薦。並且，Arrival Advisor的用戶是匿名的，您的答案僅用於應用程式分析優化之使用，我們決不會與贊助者或任何第三方共享保存您的個人數據。
lib/components/recommended_topics/call_to_action.js:36,Get information based on your needs,根據您的需求取得訊息
lib/components/recommended_topics/call_to_action.js:33,GETTING STARTED,開始
lib/components/recommended_topics/call_to_action.js:74,Go back to questions,回到問題
lib/components/help/help_component.js:46,Help & Support,幫助和支持
lib/components/help/help_component.js:49,"If you are having difficulty with settlement in Canada, we suggest getting in touch with a settlement worker.",幫助和支持
lib/components/about/about_component.js:54,Information in this app is provided by the,本應用程式資訊由{welcomeBCLink}所提供；不列顛哥倫比亞省（BC省）2018 版權所有
lib/components/help/help_component.js:24,Information on BC211,BC211 相關資訊
lib/components/help/help_component.js:14,Information on emergency services (9-1-1),緊急求助資訊（9-1-1）
lib/components/help/help_component.js:19,Information on HealthLinkBC (8-1-1),HealthLink BC 相關資訊（8-1-1）
lib/components/help/help_component.js:29,Information on helplines,求助熱線相關資訊
lib/components/explore/explore_all_component.js:11,Learn all about B.C.,了解所有關於B.C.的資訊
lib/components/help/help_component.js:20,Mutlilingual health information services,多種語言健康資訊服務處
lib/components/bookmarked_topics/bookmarked_topics_component.js:12,My bookmarks,我的最愛
lib/components/questionnaire/questionnaire_component.js:100,Next,下一個
lib/components/questionnaire/new_topics_modal_component.js:55,No new topics recommended based on your answers.,根據您的答案，沒有新主題資訊可推薦。
lib/components/services/service_list_component.js:60,No related services found,沒有找到相關服務處
lib/components/topics/task_list_component.js:77,No topics to recommend,沒有可推薦的主題
lib/components/topics/task_list_component.js:76,No topics to show,沒有可顯示的主題
lib/components/questionnaire/new_topics_modal_component.js:43,Number of new topics recommended based on your answers:,根據您的答案所推薦的幾項新主題
lib/components/questionnaire/questionnaire_component.js:78,OF,/
lib/components/questionnaire/new_topics_modal_component.js:69,OK,確定
lib/components/recommended_topics/call_to_action.js:60,"Once you answer some questions, your recommendations will show up below. For now, here are some topics we recommend for everyone:",回答完部分問題後，針對您需求的建議項目將顯示在下方。以下是我們目前為大家推薦的一些主題：
lib/components/maps_application_popup/maps_application_popup_component.js:18,Open in maps,在地圖中顯示
lib/components/disclaimer/disclaimer_component.js:49,"PeaceGeeks is not liable for any damages incurred as a result of or related to the use of the app. PeaceGeeks is not an immigration consultancy network, and therefore cannot provide advice or support directly related to immigration. Arrival Advisor exists to offer newcomers a directory of services and resources to assist settlement in Metro Vancouver and does not exist in an official Immigration Service capacity.",PeaceGeeks 對於因使用此應用軟體而導致之任何相關的損害概不負責。 PeaceGeeks不是移民諮詢網絡，因此無法提供與移民直接相關的建議或支持。Arrival Advisor 的存在是為新移民提供所需資源服務目錄，以便利大溫地區的新移民，而不具備官方移民服務之身份。
lib/components/services/service_list_error_component.js:23,Please ensure location services are enabled for Arrival Advisor.,TO DO 6
lib/components/help/help_component.js:15,"Police, fire and medical emergencies",警察、火災、醫療急診
lib/components/header_menu/header_menu_component.js:52,Privacy policy,隱私政策
lib/components/expandable_content/expandable_content_component.js:79,Read less,顯示更少
lib/components/expandable_content/expandable_content_component.js:79,Read more,顯示更多
lib/components/recommended_topics/recommended_topics_component.js:38 lib/components/topics/task_detail_content_component.js:63,Recommended for you,為您推薦
lib/components/topics/task_detail_component.js:19,RELATED TOPICS,相關主題
lib/components/bookmarked_topics/bookmarked_topics_component.js:15,Save important topics to build your personal plan for settlement.,儲存重要主題以建立個人定居計畫。
lib/components/header_menu/header_menu_component.js:24,SELECT YOUR LANGUAGE,選擇您的語言
lib/components/welcome/welcome_component.js:31,Select your language,選擇您的語言
lib/components/about/about_component.js:63,Server version:,伺服器版本：{0}
lib/components/help/help_component.js:25,Services information and referral,服務資訊和推薦
lib/components/welcome/welcome_component.js:27,Settling in Canada is now easier.,現在，定居加拿大變得更容易
lib/components/questionnaire/questionnaire_component.js:100,Skip,跳過
lib/components/welcome/welcome_component.js:42,Start,開始
lib/components/recommended_topics/recommended_topics_component.js:21,Start settling in B.C.,開始在B.C.省定居
lib/components/disclaimer/disclaimer_component.js:26,"The app provides information about relevant newcomer services, and is intended for general guidance and reference only. While we aim to provide accurate and timely information, we do not have control over the ongoing accuracy of the information or the quality of the services provided. If you discover that a piece of information is outdated or not useful, please let us know in the feedback section of the app. The inclusion of services and resources in this app does not imply an endorsement or recommendation of those services over others.  Utilization of services located through the app is undertaken at the risk of the user.",本應用程式所提供之相關新移民服務訊息，僅供一般指導與參考。雖然我們的目標是提供準確與即時的資訊，但我們無法控制資訊隨時變化的準確性或伺服器的品質性。如果您發現某資訊已過時或無用，懇請在本程式的意見回饋欄留言告知。 本應用程式並不推薦或背書該程式中所列入的服務資訊。 用戶需自行承擔使用此應用程式所搜尋之服務風險。
lib/components/about/about_component.js:41,"The Arrival Advisor app is created by PeaceGeeks in partnership with settlement organizations in Metro Vancouver, as well as immigrants and refugees like you. This project is possible thanks to funding by the Province of British Columbia and Google.org Canada in partnership with LEAP | Pecaut Centre for Social Impact. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can","Arrival Advisor 應用程式是與大溫哥華地區（以下簡稱大溫地區）的定居／安置所提供者們，以及像您一樣的移民或難民共同合作設計的。我們非常地感謝不列顛哥倫比亞省（BC省）的省政府就業、貿易及科技部（Ministry of Jobs, Trade and Technology），以及加拿大 Google.org Canada 提供的資金輔助。另外也特別感謝使這個項目成功的個人捐助者。 Arrival Advisor是一個開放式專案，您可以藉由{github Link}和{contactLink}來了解如何支持此專案。"
lib/components/about/about_component.js:59,This is Arrival Advisor version:,這是 Arrival Advisor 版本：
lib/components/about/about_component.js:51,to learn how you can support this project.,TO DO 7
lib/components/recommended_topics/call_to_action.js:70,UPDATE MY RECOMMENDATIONS,更新我的推薦信息
lib/components/services/service_list_item_component.js:46,Web:,網址：
