"location","source","target"
"lib/components/explore/explore_all_component.js:11","Learn all about B.C.",""
"lib/components/help/help_component.js:20","Mutlilingual health information services",""
"lib/components/bookmarked_topics/bookmarked_topics_component.js:12","My bookmarks",""
"lib/components/questionnaire/questionnaire_component.js:100","Next",""
"lib/components/questionnaire/new_topics_modal_component.js:55","No new topics recommended based on your answers.",""
"lib/components/services/service_list_component.js:60","No related services found",""
"lib/components/tasks/task_list_component.js:77","No topics to recommend",""
"lib/components/tasks/task_list_component.js:76","No topics to show",""
"lib/components/questionnaire/new_topics_modal_component.js:43","Number of new topics recommended based on your answers:",""
"lib/components/questionnaire/questionnaire_component.js:78","OF",""
"lib/components/questionnaire/new_topics_modal_component.js:69","OK",""
"lib/components/recommended_topics/call_to_action.js:60","Once you answer some questions, your recommendations will show up below. For now, here are some topics we recommend for everyone:",""
"lib/components/maps_application_popup/maps_application_popup_component.js:18","Open in maps",""
"lib/components/disclaimer/disclaimer_component.js:47","PeaceGeeks is not liable for any damages incurred as a result of or related to the use of the app. PeaceGeeks is not an immigration consultancy network, and therefore cannot provide advice or support directly related to immigration. Arrival Advisor exists to offer newcomers a directory of services and resources to assist settlement in Metro Vancouver and does not exist in an official Immigration Service capacity.",""
"lib/components/services/service_list_error_component.js:23","Please ensure location services are enabled for Arrival Advisor.",""
"lib/components/help/help_component.js:15","Police, fire and medical emergencies",""
"lib/components/header_menu/header_menu_component.js:52","Privacy policy",""
"lib/components/tasks/task_detail_component.js:19","RELATED TOPICS",""
"lib/components/expandable_content/expandable_content_component.js:79","Read less",""
"lib/components/expandable_content/expandable_content_component.js:79","Read more",""
"lib/components/recommended_topics/recommended_topics_component.js:38 lib/components/tasks/task_detail_content_component.js:63","Recommended for you",""
"lib/components/header_menu/header_menu_component.js:24","SELECT YOUR LANGUAGE",""
"lib/components/bookmarked_topics/bookmarked_topics_component.js:15","Save important topics to build your personal plan for settlement.",""
"lib/components/welcome/welcome_component.js:31","Select your language",""
"lib/components/about/about_component.js:63","Server version:",""
"lib/components/help/help_component.js:25","Services information and referral",""
"lib/components/welcome/welcome_component.js:27","Settling in Canada is now easier.",""
"lib/components/questionnaire/questionnaire_component.js:100","Skip",""
"lib/components/welcome/welcome_component.js:42","Start",""
"lib/components/recommended_topics/recommended_topics_component.js:21","Start settling in B.C.",""
"lib/components/about/about_component.js:41","The Arrival Advisor app is created by PeaceGeeks in partnership with settlement organizations in Metro Vancouver, as well as immigrants and refugees like you. This project is possible thanks to funding by the Province of British Columbia and Google.org Canada in partnership with LEAP | Pecaut Centre for Social Impact. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can",""
"lib/components/disclaimer/disclaimer_component.js:24","The app provides information about relevant newcomer services, and is intended for general guidance and reference only. While we aim to provide accurate and timely information, we do not have control over the ongoing accuracy of the information or the quality of the services provided. If you discover that a piece of information is outdated or not useful, please let us know in the feedback section of the app. The inclusion of services and resources in this app does not imply an endorsement or recommendation of those services over others.  Utilization of services located through the app is undertaken at the risk of the user.",""
"lib/components/about/about_component.js:59","This is Arrival Advisor version:",""
"lib/components/recommended_topics/call_to_action.js:70","UPDATE MY RECOMMENDATIONS",""
"lib/components/services/service_list_item_component.js:46","Web:",""
"lib/components/about/about_component.js:49","and",""
"lib/components/about/about_component.js:51","to learn how you can support this project.",""
