location,source,target
lib/components/help/help_component.js:20,Mutlilingual health information services,Maramihang wika na mga serbisyo sa impormasyon sa kalusugan
lib/components/bookmarked_topics/bookmarked_topics_component.js:12,My bookmarks,Mga bookmark ko
lib/components/questionnaire/questionnaire_component.js:100,Next,Susunod
lib/components/questionnaire/new_topics_modal_component.js:55,No new topics recommended based on your answers.,Mga bagong paksang nirekomenda batay sa mga sagot mo.
lib/components/services/service_list_component.js:60,No related services found,Walang kaugnay na mga serbisyong matatagpuan
lib/components/topics/task_list_component.js:77,No topics to recommend,Walang mga paksang irerekomenda
lib/components/topics/task_list_component.js:76,No topics to show,Walang mga paksang ipapakita
lib/components/questionnaire/new_topics_modal_component.js:43,Number of new topics recommended based on your answers:,Bilang ng mga bagong paksang nirekomenda batay sa iyong mga sagot:
lib/components/questionnaire/questionnaire_component.js:78,OF,NG
lib/components/questionnaire/new_topics_modal_component.js:69,OK,OK
lib/components/recommended_topics/call_to_action.js:60,"Once you answer some questions, your recommendations will show up below. For now, here are some topics we recommend for everyone:","Sa oras na masagot mo ang ilan sa mga tanong, ang mga rekomendasyon mo ay ipakikita sa ibaba. Sa ngayon, narito ang ilang paksa na nirerekomenda namin sa lahat:"
lib/components/maps_application_popup/maps_application_popup_component.js:18,Open in maps,Buksan sa mga mapa
lib/components/disclaimer/disclaimer_component.js:47,"PeaceGeeks is not liable for any damages incurred as a result of or related to the use of the app. PeaceGeeks is not an immigration consultancy network, and therefore cannot provide advice or support directly related to immigration. Arrival Advisor exists to offer newcomers a directory of services and resources to assist settlement in Metro Vancouver and does not exist in an official Immigration Service capacity.","Ang PeaceGeeks ay walang pananagutan sa anumang mga pinsalang natamo bilang resulta ng o kaugnay sa paggamit ng app. Ang PeaceGeeks ay hindi network ng pagkonsulta sa imigrasyon, at kung kaya hindi makapaglalaan ng direktang payo o suporta may kaugnayan sa imigrasyon. Ang Arrival Advisor ay umiiral upang mag-alok sa mga bagong dating ng direktoryo ng mga serbisyo at mapagkukunan upang makatulong sa paninirahan sa Metro Vancouver at hindi umiiral sa opisyal na kapasidad ng Serbisyo ng Imigrasyon."
lib/components/services/service_list_error_component.js:23,Please ensure location services are enabled for Arrival Advisor.,Please ensure location services are enabled for Arrival Advisor.
lib/components/help/help_component.js:15,"Police, fire and medical emergencies","Pulis, sunog at medikal na mga emergency"
lib/components/header_menu/header_menu_component.js:52,Privacy policy,Patakaran sa Pagkapribado
lib/components/topics/task_detail_component.js:19,RELATED TOPICS,KAUGNAY NA MGA PAKSA
lib/components/expandable_content/expandable_content_component.js:79,Read less,Basahin ang kaunti
lib/components/expandable_content/expandable_content_component.js:79,Read more,Basahin ang higit
lib/components/recommended_topics/recommended_topics_component.js:38 lib/components/topics/task_detail_content_component.js:63,Recommended for you,Nirerekomenda para sa iyo
lib/components/header_menu/header_menu_component.js:24,SELECT YOUR LANGUAGE,PUMILI NG IYONG WIKA
lib/components/bookmarked_topics/bookmarked_topics_component.js:15,Save important topics to build your personal plan for settlement.,Itago ang mahahalagang paksa upang bumuo ng iyong personal na plano sa paninirahan.
lib/components/welcome/welcome_component.js:31,Select your language,Pumili ng wika mo
lib/components/about/about_component.js:63,Server version:,Bersyon ng server: 
lib/components/help/help_component.js:25,Services information and referral,Mga serbisyong impormasyon at referral
lib/components/welcome/welcome_component.js:27,Settling in Canada is now easier.,Mas madali na ngayon ang paninirahan sa Canada.
lib/components/questionnaire/questionnaire_component.js:100,Skip,Laktawan
lib/components/welcome/welcome_component.js:42,Start,Magsimula
lib/components/recommended_topics/recommended_topics_component.js:21,Start settling in B.C.,Simulan ang paninirahan sa B.C.
lib/components/about/about_component.js:41,"The Arrival Advisor app is created by PeaceGeeks in partnership with settlement organizations in Metro Vancouver, as well as immigrants and refugees like you. This project is possible thanks to funding by the Province of British Columbia and Google.org Canada in partnership with LEAP | Pecaut Centre for Social Impact. Special thanks also goes to individual donors who make this project possible. Arrival Advisor is an open-source project. You can","Ang Arrival Advisor app ay nilikha ng PeaceGeeks sa pakikipagtulungan ng mga organisasyon sa paninirahan sa Metro Vancouver, gayundin sa mga imigrante at takas na tulad mo. Gayundin sa mga imigrante at takas na tulad mo. Ang proyektong ito ay nagawa dahil sa pondo ng Probinsya ng British Columbia at Google.org Canada sa pakikipagtulungan ng LEAP | Pecaut Centre for Social Impact. Espesyal na pasasalamat din sa mga indibidwal na donor na dahilan upang magawa ang proyektong ito. Ang Arrival Advisor ay isang open-source na proyekto. Maaari kang"
lib/components/disclaimer/disclaimer_component.js:24,"The app provides information about relevant newcomer services, and is intended for general guidance and reference only. While we aim to provide accurate and timely information, we do not have control over the ongoing accuracy of the information or the quality of the services provided. If you discover that a piece of information is outdated or not useful, please let us know in the feedback section of the app. The inclusion of services and resources in this app does not imply an endorsement or recommendation of those services over others.  Utilization of services located through the app is undertaken at the risk of the user.","Ang app ay nagbibigay ng impormasyon tungkol sa kaugnay na mga serbisyo ng bagong dating, at para sa pangkalahatang gabay at reperensya lamang. Habang layunin naming maglaan ng angkop at napapanahong impormasyon, hindi namin kontrolado ang isinasagawang katumpakan ng impormasyon o ang kalidad ng mga serbisyong inilaan. Kung natuklasan mo na ang bahagi ng impormasyon ay luma na o hindi kapaki-pakinabang, mangyaring ipaalam sa akin sa seksyon ng feedback ng app. Ang kabilang na mga serbisyo at mapagkukunan sa app na hindi ay hindi nagpapakita ng pag-endorso o rekomendasyon ng mga serbisyong iyon laban sa iba. Ang paggamit ng mga serbisyong matatagpuan sa app ay isinasagawa sa pananagutan ng user."
lib/components/about/about_component.js:59,This is Arrival Advisor version:,Ito ay bersyon ng Arrival Advisor:
lib/components/recommended_topics/call_to_action.js:70,UPDATE MY RECOMMENDATIONS,I-UPDATE ANG REKOMENDASYON KO
lib/components/services/service_list_item_component.js:46,Web:,Web:
lib/components/about/about_component.js:49,and,and
lib/components/about/about_component.js:51,to learn how you can support this project.,to learn how you can support this project.
